省市別,縣市別,選區別,鄉鎮市區,村里別,投開票所,候選人號次,得票數,得票率,當選註記
63,000,01,010,0027,1501,2,379,43.17, 
63,000,01,010,0027,1501,3,464,52.85,*
63,000,01,010,0027,1502,1,37,4.02, 
63,000,01,010,0027,1502,2,385,41.85, 
63,000,01,010,0027,1502,3,498,54.13,*
63,000,01,010,0027,1503,1,33,4.74, 
63,000,01,010,0027,1503,2,273,39.22, 
63,000,01,010,0027,1503,3,390,56.03,*
63,000,01,010,0028,1504,1,46,4.05, 
63,000,01,010,0028,1504,2,421,37.06, 
63,000,01,010,0028,1504,3,669,58.89,*
63,000,01,010,0028,1505,1,41,3.68, 
63,000,01,010,0028,1505,2,461,41.38, 
63,000,01,010,0028,1505,3,612,54.94,*
63,000,01,010,0029,1506,1,44,5.36, 
63,000,01,010,0029,1506,2,354,43.12, 
63,000,01,010,0029,1506,3,423,51.52,*
63,000,01,010,0029,1507,1,45,5.23, 
63,000,01,010,0029,1507,2,355,41.23, 
63,000,01,010,0029,1507,3,461,53.54,*
63,000,01,010,0029,1508,1,25,3.26, 
63,000,01,010,0029,1508,2,317,41.38, 
63,000,01,010,0029,1508,3,424,55.35,*
63,000,01,010,0030,1509,1,47,4.27, 
63,000,01,010,0030,1509,2,478,43.45, 
63,000,01,010,0030,1509,3,575,52.27,*
63,000,01,010,0030,1510,1,52,4.46, 
63,000,01,010,0030,1510,2,447,38.3, 
63,000,01,010,0030,1510,3,668,57.24,*
63,000,01,010,0030,1511,1,38,3.82, 
63,000,01,010,0030,1511,2,373,37.45, 
63,000,01,010,0030,1511,3,585,58.73,*
63,000,01,010,0030,1512,1,40,3.69, 
63,000,01,010,0030,1512,2,461,42.49, 
63,000,01,010,0030,1512,3,584,53.82,*
63,000,01,010,0031,1513,1,44,3.96, 
63,000,01,010,0031,1513,2,496,44.68, 
63,000,01,010,0031,1513,3,570,51.35,*
63,000,01,010,0031,1514,1,30,3.27, 
63,000,01,010,0031,1514,2,434,47.33, 
63,000,01,010,0031,1514,3,453,49.4,*
63,000,01,010,0032,1515,1,55,6.59, 
63,000,01,010,0032,1515,2,404,48.38, 
63,000,01,010,0032,1515,3,376,45.03,*
63,000,01,010,0032,1516,1,43,4.46, 
63,000,01,010,0032,1516,2,368,38.17, 
63,000,01,010,0032,1516,3,553,57.37,*
63,000,01,010,0032,1517,1,35,3.6, 
63,000,01,010,0032,1517,2,475,48.87, 
63,000,01,010,0032,1517,3,462,47.53,*
63,000,01,010,0033,1518,1,52,4.96, 
63,000,01,010,0033,1518,2,356,33.97, 
63,000,01,010,0033,1518,3,640,61.07,*
63,000,01,010,0033,1519,1,32,3.32, 
63,000,01,010,0033,1519,2,386,40.0, 
63,000,01,010,0033,1519,3,547,56.68,*
63,000,01,010,0033,1520,1,49,4.93, 
63,000,01,010,0033,1520,2,400,40.24, 
63,000,01,010,0033,1520,3,545,54.83,*
63,000,01,010,0033,1521,1,54,5.37, 
63,000,01,010,0033,1521,2,419,41.69, 
63,000,01,010,0033,1521,3,532,52.94,*
63,000,01,010,0034,1522,1,45,5.24, 
63,000,01,010,0034,1522,2,344,40.09, 
63,000,01,010,0034,1522,3,469,54.66,*
63,000,01,010,0034,1523,1,33,4.51, 
63,000,01,010,0034,1523,2,300,40.98, 
63,000,01,010,0034,1523,3,399,54.51,*
63,000,01,010,0035,0638,1,37,5.28, 
63,000,01,010,0035,0638,2,289,41.23, 
63,000,01,010,0035,0638,3,375,53.5,*
63,000,01,010,0035,0639,1,33,4.1, 
63,000,01,010,0035,0639,2,315,39.13, 
63,000,01,010,0035,0639,3,457,56.77,*
63,000,01,010,0035,0640,1,27,3.18, 
63,000,01,010,0035,0640,2,358,42.12, 
63,000,01,010,0035,0640,3,465,54.71,*
63,000,01,020,0001,1309,1,31,3.92, 
63,000,01,020,0001,1309,2,456,57.65, 
63,000,01,020,0001,1309,3,304,38.43,*
63,000,01,020,0001,1310,1,27,3.09, 
63,000,01,020,0001,1310,2,553,63.27, 
63,000,01,020,0001,1310,3,294,33.64,*
63,000,01,020,0001,1311,1,29,3.9, 
63,000,01,020,0001,1311,2,471,63.39, 
63,000,01,020,0001,1311,3,243,32.71,*
63,000,01,020,0001,1312,1,29,4.15, 
63,000,01,020,0001,1312,2,389,55.65, 
63,000,01,020,0001,1312,3,281,40.2,*
63,000,01,020,0002,1313,1,42,4.32, 
63,000,01,020,0002,1313,2,522,53.7, 
63,000,01,020,0002,1313,3,408,41.98,*
63,000,01,020,0002,1314,1,52,5.31, 
63,000,01,020,0002,1314,2,482,49.18, 
63,000,01,020,0002,1314,3,446,45.51,*
63,000,01,020,0002,1315,1,32,3.32, 
63,000,01,020,0002,1315,2,478,49.53, 
63,000,01,020,0002,1315,3,455,47.15,*
63,000,01,020,0003,1316,1,33,4.91, 
63,000,01,020,0003,1316,2,352,52.38, 
63,000,01,020,0003,1316,3,287,42.71,*
63,000,01,020,0003,1317,1,35,3.63, 
63,000,01,020,0003,1317,2,490,50.83, 
63,000,01,020,0003,1317,3,439,45.54,*
63,000,01,020,0004,1318,1,21,3.35, 
63,000,01,020,0004,1318,2,276,44.09, 
63,000,01,020,0004,1318,3,329,52.56,*
